rows,positive_rate_true,positive_rate_predicted,tp,tn,fp,fn,precision,recall,f1,specificity,fpr,fnr,pr_auc,roc_auc,brier_score,ece,model,threshold,group_feature,group_value
155,0.24516129032258063,0.6838709677419355,33,44,73,5,0.3113207547169811,0.868421052631579,0.4583333333333333,0.37606837606837606,0.6239316239316239,0.13157894736842105,0.42130817160083717,0.6981556455240666,0.1984153063843783,0.16761624512598086,logistic_regression_balanced,0.25,status,Resolved
492,0.14634146341463414,0.6504065040650406,61,161,259,11,0.190625,0.8472222222222222,0.3112244897959184,0.38333333333333336,0.6166666666666667,0.1527777777777778,0.2801797788827278,0.6881448412698412,0.15395106060355335,0.17872519335117107,logistic_regression_balanced,0.25,has_description,0
1383,0.28705712219812,0.9320318148951554,390,87,899,7,0.30256012412723043,0.982367758186398,0.4626334519572954,0.08823529411764706,0.9117647058823529,0.017632241813602016,0.44866116793050576,0.6942075709811415,0.23741076586471369,0.2222978957450628,logistic_regression_balanced,0.25,has_description,1
46,0.2826086956521739,0.9565217391304348,13,2,31,0,0.29545454545454547,1.0,0.45614035087719296,0.06060606060606061,0.9393939393939394,0.0,0.4561479914023155,0.6480186480186481,0.2362396477401653,0.20942896792423069,logistic_regression_balanced,0.25,created_year,2008
86,0.32558139534883723,0.8837209302325582,28,10,48,0,0.3684210526315789,1.0,0.5384615384615384,0.1724137931034483,0.8275862068965517,0.0,0.6114475390768236,0.7875615763546797,0.1974540676210199,0.1638335714736951,logistic_regression_balanced,0.25,created_year,2009
381,0.16010498687664043,0.8267716535433071,60,65,255,1,0.19047619047619047,0.9836065573770492,0.3191489361702128,0.203125,0.796875,0.01639344262295082,0.3292519168526201,0.7035348360655738,0.2010361269341143,0.2698478289847355,logistic_regression_balanced,0.25,created_year,2010
485,0.20618556701030927,0.8494845360824742,94,67,318,6,0.22815533980582525,0.94,0.3671875,0.17402597402597403,0.825974025974026,0.06,0.40067569057260227,0.7170519480519482,0.20508635361693825,0.22804841854853453,logistic_regression_balanced,0.25,created_year,2011
305,0.3344262295081967,0.8491803278688524,97,41,162,5,0.3745173745173745,0.9509803921568627,0.5373961218836565,0.2019704433497537,0.7980295566502463,0.049019607843137254,0.5671977133052344,0.7441321356128658,0.1985515000654219,0.11434559827827398,logistic_regression_balanced,0.25,created_year,2012
146,0.3219178082191781,0.8835616438356164,46,16,83,1,0.35658914728682173,0.9787234042553191,0.5227272727272727,0.16161616161616163,0.8383838383838383,0.02127659574468085,0.5673110121611044,0.759939823769611,0.21796002811993118,0.1975540197778263,logistic_regression_balanced,0.25,created_year,2013
88,0.3409090909090909,0.9772727272727273,29,1,57,1,0.3372093023255814,0.9666666666666667,0.5,0.017241379310344827,0.9827586206896551,0.03333333333333333,0.5541957710774273,0.6919540229885057,0.2662445427733516,0.2741935475268523,logistic_regression_balanced,0.25,created_year,2014
87,0.25287356321839083,0.7816091954022989,20,17,48,2,0.29411764705882354,0.9090909090909091,0.4444444444444444,0.26153846153846155,0.7384615384615385,0.09090909090909091,0.3667501442747314,0.6,0.2936495007055393,0.2894436063179348,logistic_regression_balanced,0.25,created_year,2015
59,0.23728813559322035,0.847457627118644,14,9,36,0,0.28,1.0,0.4375,0.2,0.8,0.0,0.5455814915830444,0.7317460317460317,0.25323948667449026,0.3045880622834841,logistic_regression_balanced,0.25,created_year,2016
13,0.3076923076923077,0.8461538461538461,4,2,7,0,0.36363636363636365,1.0,0.5333333333333333,0.2222222222222222,0.7777777777777778,0.0,0.40208333333333335,0.5555555555555556,0.2717758202576685,0.25202153671169375,logistic_regression_balanced,0.25,created_year,2017
